Food_Type,Quantity,Preparation_Time,Storage_Hours,Temperature,Food_Safe
Bread,58.2,82.5,47.5,7.2,No
Fast Food,2.3,20.6,5.9,49.4,No
Bread,12.2,76.6,50.0,23.4,Yes
Vegetables,67.5,37.0,30.4,2.3,No
Fruits,18.3,0.2,24.5,5.4,Yes
Fruits,59.0,42.9,36.1,28.3,No
Fast Food,24.8,21.8,0.9,-2.4,Yes
Fruits,16.4,26.4,82.8,-3.0,No
Bread,11.3,134.0,51.9,17.0,No
Curry,1.8,101.1,13.7,-3.1,No
Dairy Products,23.8,4.4,11.3,5.1,Yes
Dairy Products,6.0,21.1,9.7,15.6,No
Rice,8.1,83.2,14.4,12.3,No
Bread,36.4,146.8,18.0,2.3,No
Fast Food,13.9,47.4,2.3,-0.5,No
Fast Food,13.2,35.0,3.2,56.8,Yes
Rice,9.2,34.9,15.9,62.6,Yes
Fruits,15.1,32.1,57.0,16.7,Yes
Bread,35.3,99.3,57.0,32.5,No
Fruits,69.2,17.8,33.4,35.0,No
Bread,33.5,28.8,6.5,22.2,Yes
Rice,23.8,55.9,8.0,37.1,Yes
Bread,17.1,13.5,32.1,13.3,No
Bread,50.7,81.8,46.5,39.3,No
Rice,4.5,3.4,4.0,12.7,Yes
Dairy Products,24.7,27.3,3.7,18.3,Yes
Bread,1.5,51.9,59.3,39.2,No
Fast Food,14.9,39.3,3.1,38.6,Yes
Fast Food,10.5,13.6,4.6,35.3,Yes
Fast Food,12.2,48.9,2.4,2.3,No
Fast Food,23.6,25.1,2.9,67.5,No
Vegetables,61.3,18.3,53.3,17.5,Yes
Bread,14.3,69.6,54.3,38.1,No
Bread,35.6,89.5,2.8,7.0,Yes
Vegetables,44.5,36.2,44.0,34.0,No
Fruits,6.0,17.4,51.5,9.8,Yes
Rice,9.4,60.7,3.6,69.4,No
Curry,8.8,109.4,6.1,13.5,Yes
Rice,23.3,33.2,0.7,24.4,Yes
Curry,39.6,15.5,6.6,61.9,No
Curry,34.9,37.2,12.4,54.8,Yes
Bread,35.7,80.3,49.5,13.8,Yes
Fruits,6.1,18.0,87.3,18.7,No
Fruits,37.6,1.8,10.3,24.1,Yes
Dairy Products,25.4,31.7,5.0,22.2,No
Curry,8.0,74.1,6.8,29.6,Yes
Rice,20.3,85.1,4.7,73.3,Yes
Bread,40.3,19.3,52.4,45.1,No
Fast Food,14.3,59.7,0.9,3.9,No
Fruits,36.6,11.4,54.9,15.8,Yes
Fruits,28.1,18.0,21.4,-3.3,No
Bread,40.5,75.0,33.5,4.1,No
Curry,19.4,33.5,2.8,70.5,Yes
Bread,8.3,113.8,12.5,33.6,No
Curry,18.2,21.4,10.9,75.3,No
Dairy Products,2.4,25.4,6.5,16.9,No
Fruits,55.5,20.0,64.8,-2.8,No
Curry,15.6,28.6,1.8,33.0,Yes
Fast Food,5.6,40.1,1.7,70.0,No
Dairy Products,5.8,16.6,1.7,5.8,Yes
Vegetables,15.3,32.5,67.6,0.4,No
Bread,11.2,66.3,23.1,19.5,Yes
Dairy Products,24.6,26.0,4.7,-2.8,No
Fast Food,15.4,59.0,1.1,40.6,Yes
Curry,10.8,11.4,5.2,51.8,No
Bread,11.3,116.6,49.7,48.9,No
Bread,2.0,137.7,32.6,25.6,Yes
Vegetables,49.6,0.8,2.0,29.2,No
Dairy Products,13.4,9.7,1.4,-0.5,Yes
Curry,15.7,77.0,4.0,60.3,Yes
Dairy Products,26.4,5.4,4.2,21.0,No
Dairy Products,24.6,30.0,3.1,19.2,No
Vegetables,4.7,55.1,71.2,31.1,No
Vegetables,61.2,31.3,13.6,23.3,No
Rice,47.7,4.7,17.9,79.4,No
Vegetables,38.9,47.7,15.1,17.8,Yes
Bread,10.7,37.7,30.8,30.3,No
Fruits,77.5,9.1,93.2,16.7,Yes
Fruits,30.8,21.2,45.9,22.4,No
Fast Food,23.9,28.9,4.7,31.3,Yes
Vegetables,38.1,33.2,13.1,12.1,Yes
Fruits,45.4,21.6,36.3,27.2,No
Rice,1.6,45.1,13.2,39.2,Yes
Dairy Products,11.8,19.6,7.9,14.4,No
Rice,19.9,50.9,3.9,34.3,Yes
Vegetables,49.9,38.1,26.8,-2.4,No
Dairy Products,8.2,19.1,11.1,6.9,No
Dairy Products,20.3,5.9,7.5,26.2,No
Vegetables,40.9,39.8,12.0,0.3,No
Fruits,56.8,43.8,9.1,35.9,No
Fast Food,11.2,41.5,3.3,40.3,Yes
Bread,44.3,115.3,66.6,43.5,No
Fast Food,20.1,48.9,2.0,12.8,Yes
Rice,49.4,73.5,0.5,1.3,Yes
Fruits,52.7,33.0,18.8,11.9,Yes
Fruits,15.4,42.7,48.9,31.6,No
Dairy Products,6.3,30.4,3.5,24.8,Yes
Rice,43.5,15.0,5.6,29.0,Yes
Rice,29.7,43.0,12.3,4.1,No
Dairy Products,17.9,39.5,1.6,12.2,No
Vegetables,69.1,45.7,67.1,16.3,No
Bread,22.9,134.6,72.0,40.8,No
Fruits,49.3,43.9,94.4,31.3,No
Dairy Products,25.2,37.0,0.8,-0.9,No
Bread,27.7,106.1,62.7,25.7,No
Dairy Products,28.8,32.5,0.7,6.9,Yes
Dairy Products,13.9,24.3,5.1,15.2,No
Fruits,79.0,38.6,97.8,28.0,No
Dairy Products,5.2,20.8,7.1,23.3,No
Fruits,63.9,13.6,72.9,19.7,Yes
Fruits,76.4,21.7,58.6,6.0,No
Rice,22.3,64.4,3.3,78.6,No
Curry,29.0,79.9,14.3,55.4,Yes
Dairy Products,22.0,3.6,8.5,23.8,No
Rice,32.6,33.9,13.1,61.2,Yes
Fast Food,11.5,14.0,1.9,19.7,Yes
Dairy Products,18.2,7.5,11.3,13.9,No
Fruits,46.6,0.1,7.2,19.1,Yes
Bread,46.5,121.7,67.3,6.3,No
Curry,5.2,1.1,12.9,23.4,No
Fast Food,6.3,40.8,1.3,19.1,Yes
Vegetables,23.1,30.1,49.7,7.3,Yes
Fruits,50.9,9.7,31.8,38.5,No
Curry,33.3,25.3,11.1,67.9,No
Fast Food,19.6,51.4,4.5,20.4,No
Rice,27.8,30.4,12.4,84.1,No
Rice,26.9,25.5,12.7,12.6,Yes
Rice,7.4,67.7,10.7,67.5,No
Fruits,52.7,26.0,48.0,16.7,Yes
Curry,32.4,23.5,9.9,27.6,No
Dairy Products,23.8,34.3,4.8,27.4,No
Rice,5.7,87.7,3.6,-0.3,No
Vegetables,30.9,8.9,52.2,6.0,Yes
Fruits,24.9,26.8,19.0,28.5,No
Fast Food,12.1,49.1,2.6,48.7,No
Rice,6.7,11.0,11.7,76.8,No
Vegetables,69.1,28.8,50.1,-0.7,No
Fruits,80.0,31.6,32.6,0.6,No
Curry,16.8,84.1,6.2,68.6,Yes
Fruits,6.1,37.7,58.4,31.8,No
Dairy Products,27.0,7.2,7.4,0.9,No
Rice,2.9,51.8,11.9,2.9,No
Rice,49.0,45.6,6.9,44.0,No
Curry,12.7,113.5,8.0,65.5,No
Curry,23.5,83.4,8.1,83.7,No
Vegetables,15.5,5.9,59.1,5.7,Yes
Fast Food,21.0,57.4,3.8,13.4,No
Dairy Products,19.0,3.0,3.4,7.6,Yes
Fruits,7.6,11.4,46.2,26.3,No
Dairy Products,22.2,39.8,8.5,1.4,No
Vegetables,12.3,49.3,23.1,30.5,No
Curry,4.0,15.0,2.1,44.4,Yes
Bread,54.6,118.9,11.0,39.9,No
Fruits,78.4,10.0,102.8,30.2,No
Dairy Products,26.4,23.6,9.8,-1.8,No
Fast Food,7.8,16.3,1.0,-0.9,Yes
Curry,14.5,89.0,14.5,42.9,Yes
Fruits,47.8,11.7,74.3,27.1,No
Fruits,45.8,12.0,99.2,23.8,No
Dairy Products,18.7,28.3,2.6,27.5,Yes
Bread,17.3,69.9,67.8,44.1,No
Dairy Products,25.9,37.9,5.2,5.3,No
Rice,36.8,85.0,3.4,0.2,Yes
Fruits,64.9,0.5,102.5,25.5,No
Fruits,40.3,30.8,73.3,19.0,No
Vegetables,14.1,49.9,1.0,14.1,Yes
Curry,39.8,79.3,13.8,84.9,No
Rice,30.8,86.8,12.3,74.4,No
Curry,3.9,100.7,7.9,80.7,No
Curry,15.6,13.6,13.8,17.5,No
Bread,18.7,51.1,15.7,36.9,Yes
Bread,55.8,144.3,37.4,44.7,Yes
Fast Food,12.7,21.3,3.9,22.9,No
Bread,53.5,36.1,25.8,5.1,No
Vegetables,36.5,9.2,9.4,16.9,Yes
Curry,19.4,44.9,5.8,75.3,Yes
Rice,49.5,59.1,8.2,7.6,Yes
Bread,53.1,109.3,8.4,14.2,Yes
Dairy Products,10.6,1.3,8.2,26.3,No
Rice,21.6,49.5,14.5,59.3,Yes
Vegetables,51.1,44.5,59.5,0.9,No
Curry,7.1,60.0,11.6,16.3,Yes
Fruits,78.1,33.2,47.2,8.0,No
Curry,25.1,87.5,3.2,20.3,Yes
Dairy Products,8.2,32.8,2.8,18.3,Yes
Vegetables,13.5,59.6,42.8,23.6,No
Fruits,4.0,44.6,100.4,14.2,No
Fast Food,2.2,24.4,2.2,48.8,Yes
Fruits,38.9,22.9,69.7,8.7,No
Bread,43.0,44.6,64.5,9.1,No
Curry,12.1,33.6,9.3,33.8,Yes
Bread,20.7,25.6,48.3,34.1,No
Bread,22.3,123.4,53.6,29.4,No
Dairy Products,9.0,23.4,1.5,-1.5,Yes
Rice,3.0,87.1,16.0,68.6,No
Rice,4.7,49.2,6.5,60.3,Yes
Vegetables,50.7,2.6,14.2,19.8,Yes
Bread,53.8,72.8,51.8,45.5,No
Vegetables,65.3,30.2,2.1,22.0,No
Bread,3.7,89.3,57.3,34.7,No
Fruits,55.1,39.2,104.9,2.4,No
Vegetables,54.8,24.1,19.9,3.3,Yes
Vegetables,49.1,52.7,57.0,15.5,Yes
Bread,18.9,40.8,51.1,27.6,No
Vegetables,17.4,2.3,11.1,34.8,No
Fast Food,20.0,38.5,1.9,65.0,No
Dairy Products,11.1,24.2,4.7,-2.3,Yes
Bread,43.6,67.2,44.2,16.2,No
Fast Food,9.5,43.8,2.0,16.8,Yes
Rice,36.4,61.9,17.0,18.2,Yes
Vegetables,15.2,26.5,23.7,4.2,Yes
Curry,18.4,87.6,6.8,8.4,Yes
Curry,18.9,97.9,3.1,46.3,Yes
Dairy Products,9.2,12.4,10.7,22.0,No
Rice,8.0,38.4,8.5,53.1,Yes
Curry,29.3,97.0,9.2,29.0,No
Fast Food,20.9,56.1,1.2,60.5,Yes
Rice,39.8,0.8,14.4,43.8,No
Curry,6.4,91.2,13.4,68.4,No
Curry,10.5,65.2,4.4,43.9,No
Rice,27.7,9.2,16.0,32.4,No
Rice,12.1,34.7,6.7,20.8,Yes
Dairy Products,26.6,32.9,1.8,0.6,No
Bread,22.1,96.2,9.0,46.2,No
Vegetables,11.4,25.7,24.4,3.2,Yes
Vegetables,57.4,20.9,7.9,36.2,Yes
Fast Food,22.8,47.9,4.8,68.2,No
Bread,9.7,72.5,57.5,48.8,No
Vegetables,30.5,43.6,10.8,9.5,No
Bread,19.8,69.3,50.1,20.7,Yes
Curry,32.3,78.5,4.1,32.7,Yes
Fruits,43.1,37.0,41.8,21.1,No
Fast Food,17.6,44.9,4.4,15.0,No
Bread,33.9,144.1,66.3,3.0,No
Bread,28.2,126.9,39.9,46.6,No
Fast Food,6.4,44.8,1.1,54.1,Yes
Dairy Products,29.0,14.9,8.6,16.9,No
Fast Food,4.8,8.8,1.3,15.8,Yes
Curry,30.9,56.4,2.5,42.5,Yes
Fruits,58.1,20.0,69.8,-4.4,No
Dairy Products,1.9,30.0,6.3,-4.6,No
Vegetables,50.1,15.5,41.4,8.8,Yes
Bread,58.4,83.0,70.4,6.3,No
Rice,11.7,16.5,13.6,45.3,Yes
Fruits,25.7,28.9,89.4,2.4,No
Curry,11.5,12.5,5.8,65.1,No
Bread,10.6,24.9,15.7,0.5,No
Vegetables,14.9,55.8,17.7,-1.2,No
Vegetables,69.1,29.0,3.9,-0.8,Yes
Fast Food,7.8,23.9,1.6,58.9,Yes
Dairy Products,20.6,13.3,10.8,11.6,No
Rice,29.8,34.4,10.8,71.7,No
Dairy Products,14.4,35.4,1.6,18.7,No
Fast Food,18.2,59.6,3.3,79.3,No
Fast Food,9.2,47.1,2.4,25.6,Yes
Rice,44.6,69.7,7.3,13.8,Yes
Curry,23.1,119.3,1.9,-3.7,No
Vegetables,60.9,47.8,64.5,17.5,No
Bread,10.5,49.2,26.5,4.5,No
Bread,59.2,147.0,55.1,22.1,No
Vegetables,34.7,21.8,21.0,13.4,Yes
Fruits,30.0,38.0,102.8,11.8,Yes
Fruits,21.8,39.4,73.9,22.9,No
Dairy Products,24.8,0.3,10.3,4.6,Yes
Fast Food,2.8,23.3,3.0,2.9,No
Fast Food,12.2,5.1,4.5,73.0,No
Curry,16.7,7.7,5.5,49.4,No
Rice,14.6,3.4,3.2,37.3,Yes
Vegetables,3.2,36.1,27.7,37.1,No
Fruits,17.9,9.5,3.0,29.1,Yes
Dairy Products,6.1,5.7,3.6,-2.3,Yes
Fast Food,11.1,12.8,5.4,10.6,Yes
Bread,57.8,51.6,14.7,47.1,Yes
Dairy Products,23.7,38.6,5.5,25.1,No
Vegetables,55.0,35.8,6.1,25.1,No
Dairy Products,29.6,37.6,9.0,19.3,No
Fruits,74.8,22.5,34.5,30.6,No
Vegetables,50.8,59.3,67.9,33.6,No
Rice,2.8,67.1,3.8,57.7,Yes
Fruits,18.1,9.4,21.0,25.6,Yes
Fast Food,9.7,18.1,2.2,64.6,No
Dairy Products,30.0,16.6,4.5,22.3,No
Rice,46.4,41.3,7.0,44.7,Yes
Fruits,23.5,29.7,73.6,23.5,No
Rice,40.5,9.3,11.9,50.5,No
Dairy Products,22.8,37.1,1.6,9.7,No
Dairy Products,9.4,16.8,3.1,10.0,No
Fast Food,12.3,7.5,5.8,72.7,No
Rice,47.0,70.4,9.4,19.1,No
Fast Food,22.7,54.6,4.2,-4.6,No
Rice,2.3,71.1,15.2,41.7,No
Bread,11.1,90.1,31.2,27.8,Yes
Dairy Products,12.4,2.1,11.2,9.2,No
Dairy Products,6.0,36.2,6.4,9.4,No
Vegetables,9.2,34.6,28.5,29.3,Yes
Curry,38.0,24.5,1.9,34.4,Yes
Curry,2.1,84.9,13.8,2.1,No
Fruits,51.1,35.0,20.6,24.4,No
Vegetables,59.0,43.6,58.2,12.0,No
Bread,5.9,30.1,2.2,49.2,No
Fruits,74.2,5.5,15.7,6.8,Yes
Fruits,67.7,41.1,22.9,-0.5,No
Rice,24.8,56.3,4.2,32.8,Yes
Fast Food,4.9,17.9,5.5,51.1,No
Rice,48.8,89.4,9.0,50.3,No
Vegetables,52.2,55.6,14.3,-3.7,No
Fast Food,4.7,52.0,1.1,13.4,Yes
Rice,36.7,84.6,5.2,38.3,Yes
Dairy Products,17.0,11.8,9.1,11.4,No
Curry,10.8,23.7,12.8,59.6,No
Vegetables,55.7,35.3,12.3,4.3,Yes
Fruits,34.5,33.6,88.2,23.0,No
Curry,23.1,44.9,9.7,0.8,No
Vegetables,18.5,24.6,43.7,34.5,Yes
Bread,24.5,26.1,58.3,21.5,No
Rice,11.5,33.4,3.0,23.3,No
Dairy Products,10.5,18.6,9.6,24.7,No
Bread,36.5,83.8,7.9,13.9,Yes
Vegetables,62.6,25.3,54.6,9.3,Yes
Rice,40.3,44.9,17.8,32.9,Yes
Vegetables,23.6,23.0,41.7,7.8,Yes
Rice,45.7,25.6,15.2,31.3,Yes
Rice,17.5,1.5,8.7,69.7,No
Bread,19.7,58.4,6.2,38.7,No
Fruits,24.6,44.3,53.5,23.8,No
Vegetables,8.1,13.4,59.5,1.2,No
Curry,7.6,22.9,13.6,28.2,No
Dairy Products,26.2,10.4,9.5,-1.3,No
Bread,20.4,95.8,58.6,13.5,Yes
Vegetables,32.8,7.6,62.1,28.9,No
Dairy Products,14.0,4.9,6.6,14.1,No
Bread,46.6,77.6,7.1,38.3,Yes
Vegetables,58.7,14.5,46.8,33.5,No
Fruits,5.8,0.6,23.7,31.8,No
Bread,13.3,92.7,38.2,42.9,No
Dairy Products,14.2,6.2,6.3,25.2,No
Fruits,78.0,39.1,55.7,30.1,No
Fruits,14.0,13.8,94.0,24.2,No
Dairy Products,4.2,0.7,5.8,3.8,Yes
Fruits,28.8,5.3,59.7,10.9,Yes
Vegetables,30.7,20.0,32.1,11.6,Yes
Dairy Products,27.9,7.8,2.7,0.8,Yes
Fruits,42.0,4.9,5.9,6.2,Yes
Rice,44.9,51.8,4.7,42.9,Yes
Dairy Products,21.8,15.7,1.7,19.2,No
Fruits,17.3,35.4,37.9,8.0,Yes
Rice,10.1,81.7,11.4,61.5,No
Curry,13.3,8.3,3.2,76.0,No
Dairy Products,14.8,13.4,2.5,3.7,No
Vegetables,25.3,28.4,0.6,34.3,No
Fast Food,1.4,40.8,2.1,14.4,Yes
Fast Food,3.3,18.3,4.5,33.5,Yes
Bread,40.1,45.5,33.3,41.4,No
Vegetables,54.4,51.4,65.0,21.8,No
Dairy Products,19.6,5.9,5.2,2.3,Yes
Fruits,3.4,26.0,75.3,14.4,No
Curry,36.9,45.3,2.1,19.7,Yes
Fruits,79.0,39.4,19.3,36.0,No
Fruits,47.5,42.5,30.2,3.6,Yes
Fast Food,15.7,26.0,3.0,77.3,Yes
Rice,48.5,44.9,12.5,37.0,Yes
Vegetables,39.5,9.8,35.3,-2.1,No
Rice,11.6,74.3,2.7,39.0,No
Dairy Products,25.2,2.0,2.1,24.0,Yes
Dairy Products,28.8,22.4,11.5,18.5,No
Fruits,47.2,3.6,24.0,16.3,Yes
Fruits,32.5,40.7,96.5,36.4,No
Vegetables,31.1,52.6,58.0,1.3,No
Curry,17.2,23.9,4.9,21.8,Yes
Vegetables,13.7,46.9,60.1,-0.7,No
Vegetables,65.5,42.8,34.0,14.2,No
Fruits,3.2,25.2,103.4,13.9,Yes
Bread,47.4,91.2,27.2,31.0,Yes
Rice,38.0,35.3,7.6,-4.5,Yes
Fruits,67.3,3.8,29.5,39.4,No
Rice,41.3,50.9,12.6,72.8,No
Dairy Products,15.8,28.7,8.6,12.0,No
Curry,9.7,81.1,12.9,22.1,No
Fast Food,12.6,41.3,1.1,-5.0,No
Vegetables,7.7,12.3,34.4,32.5,No
Rice,15.7,43.5,3.7,16.1,Yes
Fast Food,15.7,26.3,4.1,5.5,No
Curry,6.5,89.4,4.0,41.0,Yes
Fruits,39.0,13.0,11.3,21.5,Yes
Fruits,31.5,36.0,50.4,31.6,No
Fruits,10.5,17.5,62.9,-3.5,No
Fruits,4.4,40.8,104.0,16.1,No
Rice,49.1,32.2,15.5,40.3,Yes
Fruits,41.5,7.9,16.8,24.5,Yes
Dairy Products,25.9,5.6,9.5,16.7,No
Fast Food,16.5,22.6,3.1,51.0,Yes
Fast Food,16.8,15.6,4.3,45.1,Yes
Vegetables,58.3,4.1,2.6,28.0,No
Fruits,74.8,21.4,82.2,39.2,No
Rice,45.1,15.7,16.1,63.0,No
Rice,31.0,10.3,15.3,1.6,No
Dairy Products,25.4,36.9,4.2,18.1,No
Vegetables,14.8,15.1,31.8,7.9,Yes
Fruits,65.3,36.4,21.2,21.2,No
Curry,2.3,16.9,0.6,64.7,Yes
Bread,11.9,112.2,65.6,32.1,No
Vegetables,58.1,30.1,26.0,35.5,No
Fruits,34.8,16.9,8.1,-1.5,No
Rice,6.8,20.8,11.0,24.8,Yes
Fast Food,7.0,42.2,0.9,69.1,No
Vegetables,40.7,51.2,67.1,17.5,No
Vegetables,49.1,6.7,34.2,36.3,No
Rice,17.6,23.5,6.4,63.8,Yes
Fast Food,18.6,55.5,4.1,69.7,No
Fast Food,23.8,54.3,4.4,60.1,No
Fruits,48.3,27.6,9.2,19.8,Yes
Dairy Products,2.2,1.4,6.3,16.5,No
Fast Food,21.4,58.3,0.6,-0.3,No
Vegetables,43.0,22.8,49.4,-4.2,No
Fast Food,10.1,7.5,4.4,41.7,No
Vegetables,68.8,22.1,14.3,14.6,Yes
Rice,29.8,20.4,13.6,75.0,No
Rice,49.6,1.3,13.1,68.1,No
Fruits,15.3,2.0,38.1,24.5,No
Curry,24.6,57.4,2.3,1.9,Yes
Curry,20.3,88.2,5.7,77.4,No
Bread,47.0,51.0,47.2,26.3,Yes
Vegetables,8.2,20.8,29.9,37.8,No
Curry,36.6,101.0,8.1,22.4,No
Bread,43.8,120.3,3.1,11.8,Yes
Rice,2.0,75.3,5.2,47.9,No
Rice,14.7,54.9,9.2,72.6,No
Curry,9.0,22.1,6.8,-0.3,No
Fast Food,9.3,1.6,3.8,70.9,No
Fast Food,19.1,13.0,0.7,56.7,Yes
Fast Food,18.5,44.1,0.8,4.3,No
Fast Food,24.8,32.1,2.8,56.1,Yes
Curry,38.5,56.1,14.9,16.4,Yes
Fast Food,17.4,16.5,6.0,60.6,No
Fruits,4.0,12.3,29.4,6.3,Yes
Rice,7.1,51.2,6.1,18.8,Yes
Rice,22.6,42.0,17.4,38.2,Yes
Fruits,5.6,42.2,30.2,22.5,No
Fruits,15.2,34.5,30.2,34.1,No
Curry,35.0,78.7,3.9,53.9,Yes
Fast Food,11.6,19.0,3.5,14.4,Yes
Bread,2.0,128.3,61.2,27.0,No
Bread,7.4,81.0,8.6,3.9,Yes
Bread,49.9,105.3,5.6,21.3,Yes
Bread,36.8,60.4,70.2,44.9,No
Vegetables,3.1,22.1,21.3,1.8,No
Vegetables,15.6,18.8,51.7,28.4,No
Curry,15.8,69.9,10.0,8.5,No
Rice,48.0,89.3,10.4,84.8,No
Vegetables,51.6,50.9,38.2,-2.7,No
Vegetables,31.4,16.2,60.3,8.2,Yes
Fast Food,19.4,21.7,3.0,58.6,Yes
Fruits,58.9,39.6,39.4,10.8,No
Dairy Products,15.0,9.2,9.5,2.6,Yes
Vegetables,17.9,54.6,48.7,25.0,No
Bread,19.5,21.4,30.6,49.2,No
Curry,35.2,1.9,2.3,18.7,Yes
Dairy Products,3.9,34.8,10.1,-4.2,No
Curry,21.1,63.5,6.1,33.0,Yes
Curry,28.8,14.3,13.5,75.9,No
Rice,49.7,4.1,13.4,26.9,No
Dairy Products,14.0,33.4,3.8,10.7,No
Dairy Products,23.2,36.7,11.3,-2.2,No
Vegetables,26.5,39.0,27.6,14.7,Yes
Bread,56.7,23.6,21.8,17.1,Yes
Vegetables,36.1,55.7,20.9,12.3,Yes
Rice,40.9,66.1,17.8,14.0,Yes
Vegetables,22.7,20.8,12.3,8.0,Yes
Curry,12.3,110.1,14.8,62.8,No
Curry,4.7,66.3,7.9,10.2,No
Vegetables,38.1,11.7,35.4,32.0,No
Vegetables,30.4,26.7,9.5,15.4,Yes
Fruits,71.2,22.2,9.8,1.2,No
Bread,48.4,114.2,16.4,3.7,No
Bread,27.8,113.0,48.6,3.7,No
Fruits,8.9,31.7,56.5,3.6,No
Dairy Products,19.2,9.8,7.2,23.8,No
Bread,28.7,77.8,13.9,24.8,No
Vegetables,60.1,45.0,0.7,-2.0,No
Dairy Products,6.2,16.7,3.5,7.5,Yes
Fruits,42.9,42.9,94.9,32.8,No
Fruits,63.9,17.6,38.9,16.6,No
Fast Food,19.3,25.2,3.0,16.0,Yes
Fruits,76.5,29.7,37.9,12.9,No
Fast Food,20.3,29.4,2.8,15.0,Yes
Curry,35.7,93.9,1.4,64.5,Yes
Fruits,31.9,19.9,43.4,36.1,No
Bread,38.5,16.4,32.5,11.1,Yes
Curry,31.4,13.2,14.5,50.0,Yes
Rice,47.6,1.9,7.1,65.2,No
Fast Food,19.4,3.8,0.8,12.9,Yes
Fast Food,13.9,51.6,1.8,63.1,No
Fruits,18.0,33.0,101.6,-3.4,No
Rice,25.6,71.2,1.2,20.5,Yes
Rice,14.4,11.1,14.2,54.0,Yes
Fast Food,3.0,4.4,4.5,59.8,No
Dairy Products,25.1,24.2,2.2,19.3,No
Fast Food,15.5,18.7,2.3,38.6,Yes
Fruits,17.0,11.9,71.0,16.2,No
Curry,38.7,67.3,7.5,76.7,No
Fruits,2.4,22.4,42.8,11.8,No
Fruits,18.7,43.9,43.2,5.4,Yes
Rice,32.5,29.9,14.7,82.8,No
Curry,34.7,58.8,4.1,7.7,Yes
Vegetables,50.9,34.0,17.1,29.5,No
Dairy Products,10.8,6.0,4.2,13.7,No
Bread,41.7,115.7,57.3,27.3,Yes
Bread,28.2,77.6,40.2,37.0,No
Fruits,56.2,16.9,81.9,2.3,No
Curry,18.1,116.6,1.1,33.2,Yes
Fruits,12.0,39.3,45.5,-4.6,No
Dairy Products,27.7,27.1,6.5,15.3,No
Curry,12.3,82.2,12.1,80.7,No
Bread,28.9,39.5,24.1,37.3,Yes
Curry,21.5,99.5,0.6,32.5,Yes
Rice,16.3,16.9,12.6,43.4,No
Vegetables,33.3,9.4,25.6,20.2,No
Curry,11.7,98.5,13.1,47.6,Yes
Fast Food,10.7,15.3,3.5,51.0,Yes
Rice,36.8,25.2,5.1,4.2,Yes
Dairy Products,23.2,13.2,9.4,14.5,No
Dairy Products,27.4,8.4,0.5,2.7,Yes
Curry,6.6,57.1,0.5,2.0,Yes
Vegetables,56.7,25.5,34.2,8.6,Yes
Vegetables,28.1,46.4,51.0,11.0,No
Vegetables,6.4,36.3,15.8,2.5,Yes
Dairy Products,5.1,17.5,5.6,17.9,No
Vegetables,63.1,39.1,13.2,34.0,No
Dairy Products,13.3,24.7,10.6,25.4,No
Curry,37.4,119.5,3.3,27.5,Yes
Bread,20.4,137.5,66.0,25.1,No
Rice,32.7,57.8,7.5,84.6,Yes
Dairy Products,2.7,22.9,0.8,18.7,Yes
Dairy Products,14.2,7.0,9.1,16.4,No
Rice,19.1,55.2,13.0,58.5,Yes
Rice,21.6,76.1,1.5,52.4,Yes
Fast Food,14.1,59.0,1.6,47.2,No
Dairy Products,5.9,39.5,8.8,7.1,No
Fruits,67.2,30.1,7.5,32.1,No
Rice,9.5,4.0,11.1,57.0,No
Bread,17.2,59.1,24.9,28.4,Yes
Fruits,8.0,41.3,20.1,-1.1,No
Fast Food,5.1,0.6,4.0,34.1,No
Bread,50.4,99.9,65.0,9.6,No
Bread,4.1,108.8,13.2,7.0,Yes
Fast Food,5.5,53.0,1.5,20.1,Yes
Rice,25.0,52.1,6.6,52.8,Yes
Rice,47.5,52.7,3.2,46.2,Yes
Bread,39.1,105.5,21.1,17.1,Yes
Fast Food,18.8,16.1,3.3,12.9,Yes
Rice,46.2,46.5,11.5,37.8,Yes
Bread,34.3,102.2,64.9,16.1,Yes
Fast Food,22.6,9.5,3.1,23.6,Yes
Bread,19.1,75.4,13.8,1.1,Yes
Vegetables,40.7,26.1,29.1,32.5,No
Vegetables,24.3,40.7,22.0,38.7,Yes
Rice,21.6,69.7,17.2,31.1,Yes
Curry,37.0,106.4,14.5,79.9,No
Fast Food,4.3,39.8,4.8,-0.4,No
Fast Food,9.3,23.8,3.0,51.0,Yes
Bread,19.1,35.8,61.8,21.8,Yes
Dairy Products,17.1,31.0,0.6,0.3,Yes
Dairy Products,12.4,8.5,5.9,7.4,Yes
Fast Food,23.0,23.3,2.3,74.5,No
Bread,49.4,112.3,30.9,19.7,Yes
Dairy Products,22.5,23.5,3.0,15.1,No
Bread,21.1,125.3,44.2,37.6,No
Curry,20.5,5.3,4.9,3.4,No
Fruits,12.9,14.0,73.1,16.6,Yes
Curry,7.4,81.9,12.6,36.8,No
Dairy Products,26.0,32.1,0.6,5.5,Yes
Dairy Products,14.2,19.4,11.5,8.3,No
Fruits,21.4,28.5,65.4,31.1,No
Fast Food,12.4,20.1,3.4,26.0,Yes
Vegetables,53.4,52.2,6.2,-4.7,Yes
Bread,12.7,123.8,52.5,22.7,No
Rice,7.0,44.1,6.9,75.0,Yes
Fruits,27.7,13.3,88.6,19.4,Yes
Fruits,2.4,14.6,68.9,21.8,No
Vegetables,52.0,14.9,6.5,-0.7,Yes
